person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm
0,13.3,194,106,163,44
0,13.3,108,9,108,44
0,13.3,75,75,5,44
0,13.3,18,14,10,45
0,13.3,111,93,60,44
0,13.3,67,63,22,44
0,13.3,160,36,156,44
0,13.3,107,65,85,44
0,13.3,204,198,47,44
0,13.3,105,95,45,44
0,13.3,154,114,103,44
0,13.3,283,256,119,44
0,13.3,192,133,138,44
0,13.3,120,81,89,44
0,13.3,59,31,50,44
0,13.3,13,13,2,44
0,13.3,168,126,111,44
0,13.3,36,29,21,44
0,13.3,267,241,115,45
0,13.3,95,87,37,44
0,13.3,38,38,0,44
0,13.3,143,51,134,44
0,13.3,161,5,160,44
0,13.3,121,14,120,44
0,13.3,193,84,174,44
0,13.3,117,85,80,44
0,13.3,148,63,134,44
0,13.3,114,107,38,44
0,13.3,262,221,142,44
0,13.3,115,5,115,44
0,13.3,30,0,30,44
0,13.3,135,122,57,44
0,13.3,95,44,84,44
0,13.3,210,141,155,44
0,13.3,113,113,2,44
0,13.3,124,58,110,44
0,13.3,104,104,1,44
0,13.3,49,34,35,44
0,13.3,99,99,3,44
0,13.3,112,86,71,44
0,13.3,130,2,130,44
0,13.3,89,9,88,44
0,13.3,58,46,35,44
0,13.3,161,160,21,44
0,13.3,170,96,140,44
0,13.3,39,39,3,44
0,13.3,139,82,112,44
0,13.3,6,3,5,44
0,13.3,42,35,22,44
0,13.3,183,125,134,44
0,13.3,124,75,98,44
0,13.3,178,157,84,44
0,13.3,68,45,51,45
0,13.3,98,56,80,44
0,13.3,117,10,117,44
0,13.3,159,97,126,44
