time,x,y
16:22:38:491086,867,1084
16:22:38:533949,579,1192
16:22:38:571147,922,260
16:22:38:611600,986,376
16:22:38:664707,1273,1056
16:22:38:768708,1220,794
16:22:38:868957,1037,607
16:22:38:968974,1003,727
16:22:39:069168,1028,462
16:22:39:169284,1039,529
16:22:39:269193,1066,517
16:22:39:369156,1064,1527
16:22:39:473179,1067,1876
16:22:39:572965,1153,1663
16:22:39:672605,999,596
16:22:39:772539,953,328
16:22:39:872608,1055,366
16:22:39:972585,1075,336
16:22:40:072563,1079,408
16:22:40:173382,905,511
16:22:40:277076,903,170
16:22:40:376530,667,230
16:22:40:476496,588,289
16:22:40:576538,523,240
16:22:40:676505,567,147
16:22:40:777318,692,457
16:22:40:876451,626,71
16:22:40:980426,717,71
16:22:41:080418,741,146
16:22:41:180411,752,71
16:22:41:280356,830,167
16:22:41:380767,810,104
16:22:41:480906,824,137
16:22:41:580976,915,541
16:22:41:684864,974,190
16:22:41:784888,857,397
16:22:41:884906,806,308
16:22:41:985239,870,302
16:22:42:084850,896,332
16:22:42:184894,811,391
16:22:42:284286,944,453
16:22:42:388889,1019,106
16:22:42:488815,980,339
16:22:42:589206,998,206
16:22:42:688594,1165,334
16:22:42:788773,1202,136
16:22:42:888755,1220,382
16:22:42:988720,1295,129
16:22:43:088788,1191,355
16:22:43:193145,1157,460
16:22:43:292649,1307,264
16:22:43:392676,1230,642
16:22:43:492600,1283,385
16:22:43:592646,1164,537
16:22:43:692690,1269,452
16:22:43:793031,1302,151
16:22:43:896660,936,564
16:22:43:996610,504,191
16:22:44:096591,553,38
16:22:44:196798,467,503
16:22:44:296116,498,123
16:22:44:396403,480,6
16:22:44:496037,888,101
16:22:44:600078,773,306
16:22:44:699969,827,2212
16:22:44:800540,1004,2157
16:22:44:899957,1001,883
